"BTK.Open" "BTK.High" "BTK.Low" "BTK.Close" "BTK.Volume" "BTK.Adjusted"
"2004-03-01" NA NA NA NA NA NA
"2004-03-02" 546.059998 546.059998 546.059998 546.059998 0 546.059998
"2004-03-03" NA NA NA NA NA NA
"2004-03-04" 556.429993 556.429993 556.429993 556.429993 0 556.429993
"2004-03-05" NA NA NA NA NA NA
"2004-03-08" 553.030029 553.030029 553.030029 553.030029 0 553.030029
"2004-03-09" 543.369995 543.369995 543.369995 543.369995 0 543.369995
"2004-03-10" 532.440002 532.440002 532.440002 532.440002 0 532.440002
"2004-03-11" 525.859985 525.859985 525.859985 525.859985 0 525.859985
"2004-03-12" NA NA NA NA NA NA
"2004-03-15" NA NA NA NA NA NA
"2004-03-16" 516.210022 516.210022 516.210022 516.210022 0 516.210022
"2004-03-17" NA NA NA NA NA NA
"2004-03-18" 527.440002 527.440002 527.440002 527.440002 0 527.440002
"2004-03-19" NA NA NA NA NA NA
"2004-03-22" NA NA NA NA NA NA
"2004-03-23" NA NA NA NA NA NA
"2004-03-24" NA NA NA NA NA NA
"2004-03-25" 518.390015 518.390015 518.390015 518.390015 0 518.390015
"2004-03-26" 514.450012 514.450012 514.450012 514.450012 0 514.450012
"2004-03-29" 526.429993 526.429993 526.429993 526.429993 0 526.429993
"2004-03-30" NA NA NA NA NA NA
"2004-03-31" 526.390015 526.390015 526.390015 526.390015 0 526.390015
"2004-04-01" NA NA NA NA NA NA
"2004-04-02" NA NA NA NA NA NA
"2004-04-05" NA NA NA NA NA NA
"2004-04-06" 546.080017 546.080017 546.080017 546.080017 0 546.080017
"2004-04-07" NA NA NA NA NA NA
"2004-04-08" 542.150024 542.150024 542.150024 542.150024 0 542.150024
"2004-04-12" NA NA NA NA NA NA
"2004-04-13" NA NA NA NA NA NA
"2004-04-14" 536.309998 536.309998 536.309998 536.309998 0 536.309998
"2004-04-15" NA NA NA NA NA NA
"2004-04-16" 535.26001 535.26001 535.26001 535.26001 0 535.26001
"2004-04-19" NA NA NA NA NA NA
"2004-04-20" NA NA NA NA NA NA
"2004-04-21" 542.659973 542.659973 542.659973 542.659973 0 542.659973
"2004-04-22" NA NA NA NA NA NA
"2004-04-23" NA NA NA NA NA NA
"2004-04-26" 562.580017 562.580017 562.580017 562.580017 0 562.580017
"2004-04-27" NA NA NA NA NA NA
"2004-04-28" 546.280029 546.280029 546.280029 546.280029 0 546.280029
"2004-04-29" NA NA NA NA NA NA
"2004-04-30" 523.119995 523.119995 523.119995 523.119995 0 523.119995
"2004-05-03" 531.380005 531.380005 531.380005 531.380005 0 531.380005
"2004-05-04" 526.909973 526.909973 526.909973 526.909973 0 526.909973
"2004-05-05" 530.97998 530.97998 530.97998 530.97998 0 530.97998
"2004-05-06" NA NA NA NA NA NA
"2004-05-07" 509.179993 509.179993 509.179993 509.179993 0 509.179993
"2004-05-10" 500.859985 500.859985 500.859985 500.859985 0 500.859985
"2004-05-11" NA NA NA NA NA NA
"2004-05-12" NA NA NA NA NA NA
"2004-05-13" NA NA NA NA NA NA
"2004-05-14" NA NA NA NA NA NA
"2004-05-17" NA NA NA NA NA NA
"2004-05-18" NA NA NA NA NA NA
"2004-05-19" 494.359985 494.359985 494.359985 494.359985 0 494.359985
"2004-05-20" NA NA NA NA NA NA
