"SPY.Open" "SPY.High" "SPY.Low" "SPY.Close" "SPY.Volume" "SPY.Adjusted"
"2014-11-07" 203.169998 203.600006 202.610001 203.339996 89540000 185.904907
"2014-11-10" 203.380005 204.039993 203.130005 203.979996 66319000 186.490036
"2014-11-11" 204.059998 204.309998 203.649994 204.179993 54499400 186.672882
"2014-11-12" 203.350006 204.240005 203.309998 203.960007 90120300 186.471771
"2014-11-13" 204.160004 204.830002 203.210007 204.190002 85357900 186.682022
"2014-11-14" 204.100006 204.490005 203.720001 204.240005 80417500 186.727737
"2014-11-17" 203.850006 204.580002 203.649994 204.369995 80441000 186.846573
"2014-11-18" 204.440002 205.919998 204.440002 205.550003 76068100 187.925415
"2014-11-19" 205.309998 205.550003 204.300003 205.220001 82373000 187.623718
"2014-11-20" 204.259995 205.710007 204.179993 205.580002 72840300 187.952805
"2014-11-21" 207.639999 207.839996 205.979996 206.679993 142327300 188.958527
"2014-11-24" 207.169998 207.389999 206.910004 207.259995 65880800 189.48877
"2014-11-25" 207.539993 207.789993 206.800003 207.110001 79108300 189.351669
"2014-11-26" 207.289993 207.759995 207.029999 207.639999 62167800 189.836197
"2014-11-28" 207.490005 207.869995 206.910004 207.199997 57890100 189.433945
"2014-12-01" 206.399994 206.539993 205.380005 205.759995 103968400 188.117416
"2014-12-02" 205.809998 207.339996 205.779999 207.089996 74507200 189.333359
"2014-12-03" 207.300003 208.149994 207.100006 207.889999 68952000 190.064804
"2014-12-04" 207.539993 208.270004 206.699997 207.660004 91316600 189.854523
"2014-12-05" 207.869995 208.470001 207.550003 208 91025500 190.165314
"2014-12-08" 207.520004 208.119995 205.929993 206.610001 108588200 188.894531
"2014-12-09" 204.369995 206.600006 203.910004 206.470001 125180100 188.766541
"2014-12-10" 205.910004 205.979996 202.929993 203.160004 159856400 185.740387
"2014-12-11" 203.880005 206.190002 203.710007 204.190002 159012800 186.682022
"2014-12-12" 202.639999 203.820007 200.850006 200.889999 202330200 183.664963
"2014-12-15" 201.979996 202.529999 198.779999 199.509995 189965800 182.403336
"2014-12-16" 198.580002 202.399994 197.860001 197.910004 259543800 180.940491
"2014-12-17" 198.440002 202.339996 198.289993 201.789993 253910100 184.487778
"2014-12-18" 204.740005 212.970001 203.919998 206.779999 257633900 189.049957
"2014-12-19" 206.429993 207.330002 205.610001 206.520004 245084600 189.854279
"2014-12-22" 206.75 207.470001 206.460007 207.470001 148318900 190.727615
"2014-12-23" 208.169998 208.229996 207.399994 207.75 122167900 190.984985
"2014-12-24" 208.020004 208.339996 207.720001 207.770004 42963400 191.003418
"2014-12-26" 208.309998 208.850006 208.25 208.440002 57326700 191.619354
"2014-12-29" 208.220001 208.970001 208.139999 208.720001 79643900 191.876709
"2014-12-30" 208.210007 208.369995 207.509995 207.600006 73540800 190.847137
"2014-12-31" 207.990005 208.190002 205.389999 205.539993 130333800 188.953339
"2015-01-02" 206.380005 206.880005 204.179993 205.429993 121465900 188.852234
"2015-01-05" 204.169998 204.369995 201.350006 201.720001 169632600 185.441605
"2015-01-06" 202.089996 202.720001 198.860001 199.820007 209151400 183.694977
"2015-01-07" 201.419998 202.720001 200.880005 202.309998 125346700 185.983978
"2015-01-08" 204.009995 206.160004 203.990005 205.899994 147217800 189.284317
"2015-01-09" 206.399994 206.419998 203.509995 204.25 150812300 187.767456
"2015-01-12" 204.410004 204.600006 201.919998 202.649994 144396100 186.296539
"2015-01-13" 204.119995 205.479996 200.509995 202.080002 214553300 185.772598
"2015-01-14" 199.649994 201.100006 198.570007 200.860001 192991100 184.651016
"2015-01-15" 201.630005 202.009995 198.880005 199.020004 176613900 182.959518
"2015-01-16" 198.770004 201.820007 198.550003 201.630005 211879600 185.358871
"2015-01-20" 202.399994 202.720001 200.169998 202.059998 129466200 185.75415
"2015-01-21" 201.5 203.660004 200.940002 203.080002 122942700 186.691849
"2015-01-22" 203.990005 206.259995 202.330002 206.100006 174356000 189.468185
"2015-01-23" 205.789993 206.100006 204.809998 204.970001 115637000 188.429352
"2015-01-26" 204.710007 205.559998 203.850006 205.449997 92009700 188.870605
"2015-01-27" 202.970001 204.119995 201.740005 202.740005 134044600 186.379318
"2015-01-28" 204.169998 204.289993 199.910004 200.139999 168514300 183.989105
"2015-01-29" 200.380005 202.300003 198.679993 201.990005 173585400 185.68985
"2015-01-30" 200.570007 202.169998 199.130005 199.449997 197729700 183.354767
"2015-02-02" 200.050003 202.029999 197.860001 201.919998 163107000 185.625473
"2015-02-03" 203 204.850006 202.550003 204.839996 122416200 188.309845
"2015-02-04" 203.919998 205.380005 203.509995 204.059998 134306700 187.592804
"2015-02-05" 204.860001 206.300003 204.770004 206.119995 97953200 189.486526
"2015-02-06" 206.559998 207.240005 204.919998 205.550003 119694900 188.96254
"2015-02-09" 204.770004 205.639999 204.139999 204.630005 87219000 188.11676
"2015-02-10" 205.880005 207.119995 204.679993 206.809998 96164200 190.12088
"2015-02-11" 206.610001 207.449997 205.830002 206.929993 91087800 190.231171
"2015-02-12" 207.889999 208.990005 206.970001 208.919998 97545900 192.060577
"2015-02-13" 209.070007 209.839996 208.759995 209.779999 93670400 192.851196
"2015-02-17" 209.399994 210.320007 209.100006 210.110001 76968200 193.154541
"2015-02-18" 209.660004 210.220001 209.339996 210.130005 74848400 193.172974
"2015-02-19" 209.410004 210.419998 209.240005 209.979996 91462500 193.035049
"2015-02-20" 209.479996 211.330002 208.729996 211.240005 140896400 194.193375
"2015-02-23" 210.940002 211.210007 210.479996 211.210007 74411100 194.165817
"2015-02-24" 211.119995 212.050003 210.759995 211.809998 70943200 194.717361
"2015-02-25" 211.660004 212.240005 211.220001 211.630005 73061700 194.551895
"2015-02-26" 211.520004 211.710007 210.649994 211.380005 72697900 194.322052
"2015-02-27" 211.259995 211.580002 210.600006 210.660004 108076000 193.660187
"2015-03-02" 210.779999 212.059998 210.720001 211.990005 87491400 194.882874
"2015-03-03" 211.470001 212.050003 210.080002 211.119995 110325800 194.083038
"2015-03-04" 210.399994 210.490005 209.059998 210.229996 105665800 193.264908
"2015-03-05" 209.419998 210.800003 209.850006 210.460007 76873000 193.476303
"2015-03-06" 210.460007 210.460007 207.100006 207.5 188128000 190.755188
"2015-03-09" 207.740005 208.789993 207.550003 208.360001 89818900 191.545776
"2015-03-10" 206.710007 206.809998 204.929993 204.979996 153901500 188.438507
"2015-03-11" 205.289993 205.5 204.399994 204.5 110145700 187.997238
"2015-03-12" 205.259995 207.179993 205.199997 207.100006 93993500 190.387466
"2015-03-13" 206.770004 207.929993 204.580002 205.830002 162410900 189.219955
"2015-03-16" 206.710007 208.690002 205.860001 208.580002 136099200 191.748032
"2015-03-17" 207.690002 208.419998 206.979996 207.960007 91167100 191.178085
"2015-03-18" 207.389999 211.270004 206.619995 210.460007 220171200 193.476303
"2015-03-19" 209.960007 210.470001 209.029999 209.5 117917300 192.593811
"2015-03-20" 209.710007 211.020004 209.490005 210.410004 177715100 194.293594
"2015-03-23" 210.419998 211.110001 210 210 71310300 193.915024
"2015-03-24" 209.850006 210.399994 208.740005 208.820007 77805300 192.825363
"2015-03-25" 209.070007 209.350006 205.710007 205.759995 159521700 189.999786
"2015-03-26" 204.960007 206.369995 204.119995 205.270004 153067200 189.547302
"2015-03-27" 205.130005 205.949997 204.899994 205.740005 109352100 189.981308
"2015-03-30" 205.740005 208.610001 206.960007 208.25 96180400 192.299042
"2015-03-31" 207.259995 208.100006 206.360001 206.429993 126768700 190.618439
"2015-04-01" 206.429993 206.429993 204.509995 205.699997 132644700 189.944336
"2015-04-02" 205.619995 206.979996 205.399994 206.440002 86900900 190.627686
"2015-04-06" 206.440002 208.449997 205.210007 207.830002 114368200 191.911209
"2015-04-07" 207.860001 208.759995 207.240005 207.279999 81236300 191.403336
"2015-04-08" 207.550003 208.509995 207.080002 207.979996 89351900 192.049667
"2015-04-09" 207.779999 209.179993 207.190002 208.899994 85548900 192.899231
"2015-04-10" 209.199997 210.089996 208.960007 210.039993 72722900 193.951889
"2015-04-13" 209.869995 210.630005 209.029999 209.089996 74436600 193.074707
"2015-04-14" 208.850006 209.710007 208.100006 209.490005 73013500 193.444061
"2015-04-15" 210.050003 211.039993 209.949997 210.429993 99529300 194.312042
"2015-04-16" 210.029999 210.979996 209.789993 210.369995 68934900 194.256653
"2015-04-17" 208.940002 209.229996 207.009995 207.949997 191113200 192.022003
"2015-04-20" 209.059998 210.25 208.960007 209.850006 82969100 193.776489
"2015-04-21" 210.669998 210.860001 209.240005 209.600006 72559800 193.545654
